model,extinction_mechanism,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI,resilience,rep
random,size_ascending,1,20,0.2175,3,0.7500306773342404,3.0349206349206352,1.0,0.3358376419099729,1.7191296487281056,3.4,-1.0,1.0,0.5,36
random,motility_ascending,1,20,0.12,2,0.8306362118595109,2.175,1.0,0.4948565862304679,2.3155651805257302,1.45,-1.0,1.0,0.5000000000000001,37
random,tiering_ascending,1,20,0.2675,2,0.6560362476295475,3.8095238095238075,1.0,0.19439063149406688,1.590982537470405,4.4,-1.0,1.0,0.5000000000000001,38
random,calcification_ascending,1,20,0.1275,2,0.7936654350259585,2.3125,1.0,0.37039734956405207,2.3648648687712615,1.6,-1.0,0.9457627118644067,0.5,39
random,random,1,20,0.15,2,0.7182538966649195,2.75,1.0,0.18731716231633877,2.316985337163699,2.05,-1.0,0.9834710743801653,0.5000000000000001,40
random,generality_descending,1,20,0.1275,2,0.740515312765141,2.75,1.0,0.2977077076534307,2.445628832527746,1.6,-1.0,0.9927536231884058,0.5000000000000001,41
random,vulnerability_descending,1,28,0.07397959183673469,2,0.8030365026550015,2.3125,1.0,0.4140059052640643,3.144947455760357,1.1071428571428572,-1.0,0.9918533604887984,0.49999999999999994,42
random,size_descending,1,20,0.095,2,0.8299035163961687,3.2499999999999996,1.0,0.47995237164683763,2.6939966088567853,0.95,-1.0,0.9360730593607306,0.5000000000000001,43
random,motility_descending,1,21,0.1564625850340136,2,0.7399951816241833,2.4333333333333336,1.0,0.3353749700117721,2.126393682862597,2.3333333333333335,-1.0,0.9948849104859335,0.5000000000000001,44
random,tiering_descending,1,41,0.0678167757287329,2,0.82076681825494,2.4285714285714284,1.0,0.6848091173744334,2.9201562030006296,1.8048780487804879,-0.9508196721311475,0.9251753702260327,0.49999999999999994,45
random,calcification_descending,1,20,0.15,2,0.7182538966649197,2.75,1.0,0.1873171623163388,2.316985337163699,2.05,-1.0,0.9834710743801653,0.5000000000000001,46
random,generality_ascending,1,20,0.1225,1,0.7950591944384476,2.083333333333333,1.0,0.20833379001389402,2.583064054252529,1.5,-1.0,1.0,0.5,47
random,vulnerability_ascending,1,20,0.2825,2,0.7808201287500534,4.592997368953652,1.0,0.46394146526077384,1.313574601880281,4.7,-0.9649122807017544,0.8293515358361775,0.5000000000000001,48
random,size_ascending,1,20,0.255,4,0.722889407830894,3.4056122448979593,1.0,0.31744441802969864,1.5503319022267656,4.15,-1.0,1.0,0.5000000000000001,49
random,motility_ascending,1,20,0.145,2,0.7815199140267616,2.981481481481482,1.0,0.4018232431908134,2.163305886535887,1.95,-0.875,0.979933110367893,0.5000000000000001,50
random,tiering_ascending,1,20,0.285,2,0.6937551976302188,3.971938775510203,1.0,0.2794292486377352,1.4535180918838289,4.75,-1.0,1.0,0.5000000000000001,51
random,calcification_ascending,1,20,0.2175,2,0.7791474975093922,3.4953703703703716,1.0,0.43665423047901747,1.6260033112050334,3.4,-0.9534883720930233,0.8567164179104477,0.5000000000000001,52
random,random,1,20,0.1075,1,0.8332983687271727,2.2,1.0,0.5498155295249388,2.4392070446772474,1.2,-1.0,0.8861788617886179,0.5,53
random,generality_descending,1,20,0.1275,2,0.740515312765141,2.75,1.0,0.2977077076534307,2.445628832527746,1.6,-1.0,0.9927536231884058,0.5000000000000001,54
random,vulnerability_descending,1,28,0.07397959183673469,2,0.8030365026550015,2.3125,1.0,0.4140059052640643,3.144947455760357,1.1071428571428572,-1.0,0.9918533604887984,0.49999999999999994,55
random,size_descending,1,20,0.1025,2,0.8288786331287634,3.4,1.0,0.5589907397901778,2.504762363380991,1.1,-1.0,0.8938053097345132,0.5,56
random,motility_descending,1,20,0.23,3,0.5810998343443669,3.266666666666667,1.0,0.21624411267601742,1.7834735860215631,3.65,-1.0,1.0,0.5000000000000001,57
random,tiering_descending,1,39,0.0650887573964497,2,0.8169358226304214,2.3958333333333335,1.0,0.5915732577939183,3.1135068483756116,1.564102564102564,-0.9405940594059405,0.9731182795698925,0.5,58
random,calcification_descending,1,20,0.08,1,0.8560902036179965,1.9444444444444444,1.0,0.512989176042577,2.9691395173828075,0.65,-1.0,0.9581151832460733,0.5,59
random,generality_ascending,1,20,0.1225,1,0.7950591944384476,2.083333333333333,1.0,0.20833379001389402,2.583064054252529,1.5,-1.0,1.0,0.5,60
