id,model,richness,connectance,complexity,distance,basal,top,S1,S2,S4,S5
Dempsters,adbm,33,0.11753902662993572,0.8633867128101467,2.0,8.0,7.0,315.0,19.0,376.0,359.0
Dempsters,niche,33,0.10835629017447199,0.8910533289773378,3.0,12.0,0.0,32.0,10.0,45.0,71.0
Dempsters,bodymassratio,33,0.09825528007346189,0.8992305875378218,3.0,8.0,8.0,296.0,56.0,184.0,203.0
German,adbm,19,0.12465373961218837,0.883522356302398,2.0,7.0,5.0,58.0,10.0,76.0,67.0
German,niche,19,0.09695290858725762,0.9235386279866633,2.0,7.0,4.0,41.0,12.0,21.0,36.0
German,bodymassratio,19,0.0886426592797784,0.9183576525303649,3.0,4.0,7.0,40.0,6.0,31.0,24.0
Healy,adbm,19,0.15512465373961218,0.9051028526821232,4.0,5.0,3.0,76.0,17.0,75.0,119.0
Healy,niche,19,0.09141274238227147,0.9094133523948882,2.0,9.0,2.0,2.0,10.0,25.0,28.0
Healy,bodymassratio,19,0.1329639889196676,0.9304534458031096,1.0,2.0,2.0,105.0,18.0,39.0,39.0
Kyeburn,adbm,20,0.105,0.8919356833313946,2.0,9.0,4.0,34.0,13.0,64.0,70.0
Kyeburn,niche,20,0.055,0.9435945824076469,2.0,8.0,11.0,6.0,0.0,21.0,15.0
Kyeburn,bodymassratio,20,0.125,0.9245475995136302,5.0,3.0,3.0,97.0,15.0,50.0,53.0
Little,adbm,15,0.057777777777777775,0.848046107340677,3.0,10.0,10.0,1.0,1.0,15.0,11.0
Little,niche,15,0.14222222222222222,0.9232169412890664,1.0,4.0,3.0,3.0,0.0,19.0,8.0
Little,bodymassratio,15,0.09333333333333334,0.9531133975093882,3.0,5.0,6.0,22.0,5.0,18.0,13.0
Narrowdale,adbm,16,0.0,0.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0
Narrowdale,niche,16,0.0859375,0.9520635199899337,2.0,7.0,3.0,17.0,1.0,8.0,17.0
Narrowdale,bodymassratio,16,0.1015625,0.9380386635856698,3.0,4.0,4.0,34.0,8.0,13.0,25.0
NorthCol,adbm,22,0.10950413223140495,0.8382107880011103,2.0,10.0,11.0,42.0,27.0,117.0,82.0
NorthCol,niche,22,0.07231404958677685,0.9232849487146836,3.0,7.0,8.0,14.0,2.0,19.0,6.0
NorthCol,bodymassratio,22,0.1322314049586777,0.889599209773477,2.0,6.0,5.0,86.0,25.0,109.0,108.0
Powder,adbm,23,0.11342155009451796,0.8874990994674766,2.0,12.0,3.0,88.0,13.0,66.0,155.0
Powder,niche,23,0.10396975425330812,0.8921562841129831,2.0,9.0,5.0,13.0,12.0,42.0,38.0
Powder,bodymassratio,23,0.13610586011342155,0.8899784462767423,4.0,4.0,4.0,190.0,39.0,81.0,96.0
Stony,adbm,26,0.07840236686390532,0.8537247597707709,2.0,16.0,6.0,33.0,2.0,111.0,149.0
Stony,niche,26,0.11242603550295859,0.8398103659436463,2.0,12.0,9.0,35.0,25.0,107.0,229.0
Stony,bodymassratio,26,0.16272189349112426,0.8811706108831763,4.0,3.0,4.0,336.0,66.0,225.0,222.0
Sutton,adbm,24,0.0920138888888889,0.9171923429304999,2.0,9.0,3.0,55.0,13.0,84.0,149.0
Sutton,niche,24,0.1267361111111111,0.8894998603976256,2.0,6.0,2.0,14.0,5.0,39.0,28.0
Sutton,bodymassratio,24,0.14756944444444445,0.8885694284182388,2.0,4.0,2.0,182.0,35.0,147.0,168.0
Venlaw,adbm,22,0.049586776859504134,0.9597022194698598,2.0,18.0,4.0,17.0,6.0,0.0,61.0
Venlaw,niche,22,0.09917355371900827,0.9258203136809637,2.0,6.0,1.0,12.0,3.0,4.0,18.0
Venlaw,bodymassratio,22,0.1012396694214876,0.934735958563914,5.0,4.0,3.0,92.0,10.0,45.0,49.0
AkatoreB,adbm,15,0.07111111111111111,0.8598711443138513,1.0,7.0,10.0,9.0,2.0,20.0,11.0
AkatoreB,niche,15,0.16444444444444445,0.90441529695792,2.0,4.0,2.0,8.0,11.0,20.0,41.0
AkatoreB,bodymassratio,15,0.17777777777777778,0.8748557511250439,2.0,5.0,2.0,50.0,14.0,46.0,61.0
Berwick,adbm,25,0.04,0.88095700275712,2.0,21.0,11.0,5.0,1.0,14.0,79.0
Berwick,niche,25,0.0832,0.9104748120074252,2.0,9.0,6.0,64.0,17.0,49.0,93.0
Berwick,bodymassratio,25,0.1472,0.8708342078093345,3.0,5.0,5.0,248.0,53.0,167.0,149.0
Blackrock,adbm,21,0.10430839002267574,0.8542316076445208,1.0,5.0,14.0,24.0,16.0,164.0,42.0
Blackrock,niche,21,0.09523809523809523,0.9253476116265785,3.0,8.0,2.0,10.0,0.0,18.0,13.0
Blackrock,bodymassratio,21,0.14285714285714285,0.9021223977757011,3.0,3.0,2.0,128.0,23.0,87.0,115.0
Broad,adbm,25,0.1104,0.8305165333413577,2.0,13.0,5.0,49.0,31.0,197.0,147.0
Broad,niche,25,0.1088,0.9020023171293904,3.0,10.0,1.0,33.0,11.0,15.0,62.0
Broad,bodymassratio,25,0.136,0.853966384112417,4.0,5.0,6.0,189.0,24.0,191.0,205.0
Canton,adbm,23,0.1342155009451796,0.7945005293273111,2.0,13.0,8.0,33.0,6.0,199.0,231.0
Canton,niche,23,0.07939508506616257,0.9155486557727661,1.0,8.0,11.0,11.0,9.0,31.0,10.0
Canton,bodymassratio,23,0.13988657844990549,0.8896453206029193,3.0,5.0,7.0,196.0,22.0,132.0,119.0
Catlins,adbm,20,0.07,0.9297024306653349,2.0,14.0,3.0,19.0,4.0,14.0,58.0
Catlins,niche,20,0.1275,0.9164848578849812,2.0,8.0,1.0,30.0,10.0,29.0,45.0
Catlins,bodymassratio,20,0.125,0.9037345413047018,2.0,4.0,5.0,114.0,18.0,51.0,47.0
Dempsters,adbm,33,0.11294765840220386,0.8883288169254093,2.0,8.0,7.0,292.0,16.0,352.0,329.0
Dempsters,niche,33,0.08356290174471992,0.9188466689163509,2.0,8.0,7.0,105.0,22.0,79.0,162.0
Dempsters,bodymassratio,33,0.09182736455463728,0.9034202955826999,3.0,8.0,8.0,277.0,51.0,145.0,162.0
German,adbm,19,0.12742382271468145,0.8791688141014212,2.0,7.0,4.0,56.0,12.0,91.0,64.0
German,niche,19,0.04986149584487535,0.9518773724004621,3.0,9.0,9.0,6.0,0.0,5.0,5.0
German,bodymassratio,19,0.09418282548476455,0.9381233400101506,3.0,4.0,7.0,47.0,6.0,34.0,32.0
Healy,adbm,19,0.16066481994459833,0.8910404146663187,3.0,4.0,3.0,85.0,21.0,78.0,119.0
Healy,niche,19,0.13019390581717452,0.9125257899869037,2.0,7.0,1.0,24.0,3.0,7.0,25.0
Healy,bodymassratio,19,0.12465373961218837,0.9274766554058964,1.0,2.0,3.0,82.0,24.0,30.0,29.0
Kyeburn,adbm,20,0.1075,0.9070776739785538,2.0,9.0,4.0,38.0,12.0,67.0,82.0
Kyeburn,niche,20,0.1,0.9176037383693995,2.0,9.0,0.0,15.0,5.0,10.0,58.0
Kyeburn,bodymassratio,20,0.13,0.9139631675407708,5.0,3.0,3.0,112.0,16.0,53.0,61.0
