model,time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
BMR,G2,2,strict_threshold,20,0.12,4,0.8966801411456023,4.5249999999999995,3.0,0.8802578038106739,0.7575159466022647,1.45,0.24,0.0,0.1625,0.19
BMR,G2,2,narrow_niche,20,0.1625,5,0.8725279554556093,12.239316239316238,3.0,0.7462143637547681,0.6979080722839349,2.3,0.415,0.005,0.3,0.3175
BMR,G2,2,wide_niche,20,0.0825,5,0.9300210639352551,5.875,1.0,0.9486348995453654,0.793258531727595,0.7,0.15,0.01,0.0575,0.075
BMR,G2,2,relaxed_threshold,20,0.1,6,0.9169775505592982,4.3125,3.0,1.0,0.8429272304235246,1.05,0.1525,0.01,0.1075,0.135
BMR,G2,2,baseline,20,0.1325,6,0.9210689566550947,6.135135135135133,3.0,0.5906594657546614,0.7167720387108399,1.7,0.275,0.0025,0.1925,0.165
BMR,G2,2,shifted_optimum_low,20,0.1425,4,0.9351253123121881,6.121874999999999,5.0,0.5125942955468007,0.6467351460683619,1.9,0.325,0.05,0.1625,0.1325
BMR,G2,2,shifted_optimum_high,20,0.1325,6,0.9198968055280906,5.509803921568627,4.0,0.5778314553215552,0.6955453457716345,1.7,0.3,0.0025,0.1875,0.1625
ADBM,G2,2,biomass_driven,20,0.2675,2,0.7992952565616273,3.5249084249084253,3.0,0.916249163300412,0.7053313486870326,4.4,0.35,0.315,0.605,0.8375
ADBM,G2,2,high_attack,20,0.305,1,0.795163655189474,3.2853968253968264,2.0,0.9718887877063125,0.8306427187849943,5.15,0.0,0.74,0.6475,0.8725
ADBM,G2,2,low_attack,20,0.305,1,0.795163655189474,3.2853968253968264,2.0,0.9718887877063125,0.8306427187849943,5.15,0.0,0.74,0.6475,0.8725
ADBM,G2,2,power_handling,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
ADBM,G2,2,high_handling,20,0.305,1,0.795163655189474,3.2853968253968264,2.0,0.9718887877063125,0.8306427187849943,5.15,0.0,0.74,0.6475,0.8725
ADBM,G2,2,low_handling,20,0.305,1,0.795163655189474,3.2853968253968264,2.0,0.9718887877063125,0.8306427187849943,5.15,0.0,0.74,0.6475,0.8725
ADBM,G2,2,strict_ratio,20,0.27,1,0.7670126966337258,2.9535714285714283,2.0,1.065333800128551,0.8838388057685296,4.45,0.0,0.4525,0.6825,0.9275
ADBM,G2,2,relaxed_ratio,20,0.3775,1,0.7860719105101406,3.518197530864198,2.0,0.7847347530123583,0.7361677727076912,6.6,0.0,1.405,0.565,0.665
ADBM,G2,2,baseline,20,0.305,1,0.795163655189474,3.2853968253968264,2.0,0.9718887877063125,0.8306427187849943,5.15,0.0,0.74,0.6475,0.8725
BMR,G3,2,strict_threshold,28,0.13520408163265307,6,0.8924493579822282,8.611048478015782,3.0,0.6909084852759476,0.6871578880490272,2.8214285714285716,0.44387755102040816,0.017857142857142856,0.2869897959183674,0.288265306122449
BMR,G3,2,narrow_niche,28,0.16071428571428573,7,0.8742098978318337,15.96559137616766,2.0,0.6639175140616667,0.5753669233447429,3.5357142857142856,0.6275510204081632,0.003826530612244898,0.39285714285714285,0.43112244897959184
BMR,G3,2,wide_niche,28,0.09438775510204081,8,0.9155977748411268,9.62023809523809,1.0,0.8379831318366475,0.8316312460750661,1.6785714285714286,0.2576530612244898,0.04974489795918367,0.11096938775510204,0.11224489795918367
BMR,G3,2,relaxed_threshold,28,0.10076530612244898,9,0.9111986239870795,8.711979695431472,2.0,0.915407626613065,0.7598842564973333,1.8571428571428572,0.2308673469387755,0.017857142857142856,0.15306122448979592,0.18877551020408162
