time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
G3,83,shifted_optimum_high,28,0.13137755102040816,6,0.8964661270845804,6.9331619537275095,4.0,0.6103506104473877,0.578108638941879,2.7142857142857144,0.41964285714285715,0.0,0.2538265306122449,0.2627551020408163
G4,83,strict_threshold,44,0.10433884297520661,7,0.9049001225985891,13.379071801042448,1.0,0.5948034330677759,0.639500800426811,3.6136363636363638,0.5346074380165289,0.004132231404958678,0.27892561983471076,0.2660123966942149
G4,83,narrow_niche,44,0.1327479338842975,5,0.8828016985728573,17.561573820823114,4.0,0.637333943349935,0.5168510480099714,4.863636363636363,0.8755165289256198,0.00981404958677686,0.41270661157024796,0.46539256198347106
G4,83,wide_niche,44,0.08419421487603305,8,0.9220169889986887,9.173555985823866,2.0,0.5061135678168952,0.5225865750243265,2.727272727272727,0.321797520661157,0.011880165289256199,0.14359504132231404,0.14101239669421486
G4,83,relaxed_threshold,44,0.09142561983471074,8,0.9030265880172236,14.56266607251924,3.0,0.5835774888034913,0.5736425682305132,3.0454545454545454,0.35382231404958675,0.019111570247933883,0.17820247933884298,0.1802685950413223
G4,83,baseline,44,0.1131198347107438,6,0.8958091059609232,11.606878270732848,6.0,0.6606785345162716,0.4676609551986015,4.0,0.49793388429752067,0.01652892561983471,0.26859504132231404,0.3285123966942149
G4,83,shifted_optimum_low,44,0.11466942148760331,6,0.900674394710193,14.001845359672107,3.0,0.6607514428862913,0.607445456867675,4.068181818181818,0.45609504132231404,0.06353305785123967,0.2727272727272727,0.2918388429752066
G4,83,shifted_optimum_high,44,0.11260330578512397,7,0.8965456659028767,12.204481002463922,2.0,0.5887739069505646,0.4351893184086382,3.977272727272727,0.5051652892561983,0.0025826446280991736,0.27169421487603307,0.31456611570247933
G1,84,strict_threshold,47,0.13897691263014939,8,0.8843965512466935,-2.6642299692095284e16,1.0,0.4591181310585048,0.3868424391366368,5.553191489361702,0.8420099592575826,0.029877772747849706,0.4210049796287913,0.4481665912177456
G1,84,narrow_niche,47,0.16794929832503394,5,0.8648005961088983,3.5195805734722016e16,1.0,0.3624174622435959,0.32911942378958103,6.914893617021277,1.210049796287913,0.011317338162064282,0.637845178813943,0.6527840651878678
G1,84,wide_niche,47,0.10276143051154368,9,0.9033391274301706,-1.0362438956174355e17,1.0,0.4755243496194778,0.4409507649971529,3.851063829787234,0.473064735174287,0.03078315980081485,0.21321865097329107,0.2209144409234948
G1,84,relaxed_threshold,47,0.12494341330918968,9,0.8975969548243163,3.887627549732755e17,1.0,0.5238069887367464,0.5333481443657254,4.8936170212765955,0.6509732910819376,0.05568130375735627,0.35083748302399276,0.3472159348121322
G1,84,baseline,47,0.13580805794477138,7,0.8844008524583218,2.8239800192598864e16,1.0,0.38452178719926633,0.33878512706262737,5.404255319148936,0.8306926210955183,0.040289723856948845,0.3739248528746039,0.3879583521955636
G1,84,shifted_optimum_low,47,0.14757808963331825,8,0.8720252181258193,7.452007449204805e16,1.0,0.3587383641261326,0.3298657749284189,5.957446808510638,0.8913535536441829,0.11407876867360797,0.3784517881394296,0.38841104572204616
G1,84,shifted_optimum_high,47,0.12041647804436396,7,0.8866262446911867,9.20092496417332e16,1.0,0.3903884151513592,0.35582679352197566,4.680851063829787,0.6781349026708918,0.0009053870529651426,0.3218650973291082,0.33046627433227704
G2,84,strict_threshold,20,0.145,6,0.9193161214320835,1.620184272942892,1.0,0.5469393245095037,0.6318813553088372,1.95,0.345,0.0175,0.2,0.18
G2,84,narrow_niche,20,0.1525,7,0.8988674043100753,-8.162898921249773e16,1.0,0.5575800269908364,0.6424450811225729,2.1,0.3875,0.0,0.2475,0.225
G2,84,wide_niche,20,0.1175,6,0.928534739117953,7.208333333333333,1.0,0.6368030274960004,0.6216569116205881,1.4,0.2375,0.01,0.12,0.1225
