model,extinction_mechanism,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,redundancy,S1,S2,S4,S5,robustness,r50,rep
pfim,generality_descending,20,19,0.0475,1,0.7030243614276614,2.0,1.0,18.0,0.22360679774997902,4.019361038510317,0.0,1.0,0.0,153.0,0.0,0.5077639751552795,0.4782608695652174,606
pfim,vulnerability_descending,20,34,0.085,12,0.9244974504811113,3.0,1.0,1.0,2.5975697143777743,3.3732695368768053,15.0,5.0,0.0,120.0,10.0,0.48439241917502796,0.41304347826086957,607
pfim,size_descending,20,37,0.0925,14,0.9200202057416816,3.0,1.0,1.0,3.013565819319104,3.1334359818945687,18.0,1.0,0.0,105.0,0.0,0.4810360777058279,0.4782608695652174,608
pfim,motility_descending,20,38,0.095,15,0.8895855643648759,3.0,1.0,3.0,3.291136421871391,2.751076344384426,19.0,3.0,0.0,78.0,0.0,0.5911371237458195,0.5217391304347826,609
pfim,calcification_descending,20,40,0.1,14,0.8927812722982731,3.0,1.0,1.0,3.35606285619576,2.9019050004400464,21.0,2.0,0.0,91.0,0.0,0.49583718778908425,0.5434782608695652,611
pfim,generality_ascending,20,41,0.1025,12,0.9293940005011324,1.0,1.0,1.0,2.502104377476982,2.0384462607326044,22.0,10.0,1.0,45.0,11.0,0.49787910922587486,0.4782608695652174,612
pfim,vulnerability_ascending,20,35,0.0875,15,0.9418534249777943,3.0,1.0,1.0,2.510504247944498,3.1434978841043333,16.0,6.0,0.0,105.0,6.0,0.510144927536232,0.5217391304347826,613
pfim,size_ascending,20,31,0.0775,11,0.9257650384522252,3.0,1.0,4.0,1.9049796241485244,2.781044862334261,12.0,16.0,2.0,80.0,41.0,0.5300647548566144,0.5652173913043478,614
pfim,motility_ascending,20,38,0.095,15,0.8895855643648759,3.0,1.0,3.0,3.291136421871391,2.751076344384426,19.0,3.0,0.0,78.0,0.0,0.5911371237458195,0.5217391304347826,615
pfim,calcification_ascending,20,37,0.0925,15,0.8951386882196332,3.0,1.0,2.0,3.2326459750489227,2.92493814599467,18.0,3.0,0.0,91.0,0.0,0.49213691026826994,0.5434782608695652,617
random,random,20,62,0.155,5,0.7752001044405291,1.0,0.0,15.0,1.2096106376585989,6.4473576799051235,43.0,0.0,0.0,0.0,0.0,0.476912630149389,0.5319148936170213,618
random,generality_descending,20,53,0.1325,3,0.7505985206940072,1.0,0.0,17.0,0.48936048492959294,6.603627392338404,34.0,0.0,0.0,55.0,0.0,0.5792273236282195,0.5106382978723404,619
random,vulnerability_descending,18,40,0.12345679012345678,4,0.8031955501669363,1.0,0.0,14.0,0.8782037520219095,5.319835861638143,23.0,0.0,0.0,0.0,0.0,0.6436170212765956,0.1702127659574468,620
random,size_descending,3,3,0.3333333333333333,1,NaN,1.0,0.0,2.0,0.0,1.7320508075688772,1.0,0.0,0.0,0.0,0.0,0.6407801418439716,0.5319148936170213,621
random,motility_descending,18,40,0.12345679012345678,4,0.8031955501669363,1.0,0.0,14.0,0.8782037520219095,5.319835861638143,23.0,0.0,0.0,0.0,0.0,0.5818330605564648,0.19148936170212766,622
random,calcification_descending,15,33,0.14666666666666667,4,0.81556705046043,1.0,0.0,11.0,0.9411239481143201,4.7086546455891805,19.0,0.0,0.0,0.0,0.0,0.625886524822695,0.2978723404255319,624
random,generality_ascending,20,127,0.3175,8,0.6553569722282135,1.0,0.0,12.0,0.8127277008872491,9.074400081664091,108.0,0.0,0.0,0.0,0.0,0.5415635823849579,0.5319148936170213,625
random,vulnerability_ascending,20,193,0.4825,15,0.7418175045995322,1.0,0.0,5.0,3.5876249290552864,7.995228840410155,174.0,0.0,2.0,17.0,15.0,0.5000000000000001,0.5319148936170213,626
random,size_ascending,20,79,0.1975,5,0.5486648892359589,1.0,0.0,15.0,0.5104177855340405,7.983370874907154,60.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.5319148936170213,627
random,motility_ascending,18,40,0.12345679012345678,4,0.8031955501669363,1.0,0.0,14.0,0.8782037520219095,5.319835861638143,23.0,0.0,0.0,0.0,0.0,0.5818330605564648,0.19148936170212766,628
random,calcification_ascending,17,39,0.13494809688581316,4,0.793354570651793,1.0,0.0,13.0,0.8488746876271654,5.276891910518361,23.0,0.0,0.0,0.0,0.0,0.6351689612015018,0.2765957446808511,630
adbm,random,20,30,0.075,8,0.9194191841208982,3.0,1.0,12.0,1.4327007988227578,3.069373328804912,11.0,25.0,0.0,97.0,27.0,0.5190217391304347,0.5208333333333334,631
adbm,generality_descending,20,21,0.0525,3,0.9322453768628634,3.0,1.0,17.0,0.3940344628262062,2.928534751283256,2.0,11.0,0.0,82.0,2.0,0.5560515873015874,0.5208333333333334,632
adbm,vulnerability_descending,20,63,0.1575,9,0.8342746457557695,3.0,1.0,11.0,3.013565819319104,3.8563003813991137,44.0,55.0,0.0,209.0,154.0,0.3395833333333333,0.0625,633
adbm,size_descending,20,22,0.055,3,0.9405738986578733,3.0,1.0,17.0,0.4472135954999579,2.9540338165758504,3.0,12.0,0.0,84.0,3.0,0.5101950354609928,0.5208333333333334,634
adbm,motility_descending,20,32,0.08,9,0.9046578398301446,3.0,1.0,11.0,1.9029063643750177,2.9091507170885533,13.0,24.0,0.0,90.0,44.0,0.5747863247863245,0.5208333333333334,635
