model,time,n_rep,bodysize_method,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
adbm,G2,81,lognormal,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
bodymassratio,G2,81,lognormal,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
lmatrix,G2,81,lognormal,20,0.25,1,0.7838312662377922,2.7949735449735433,2.0,0.9883532289941477,1.0503132364855934,4.05,0.0,0.3175,0.8375,0.7625
niche,G2,81,lognormal,17,0.08650519031141868,4,0.9363491840237613,4.9,2.0,1.0511898020814319,0.9033271832508971,0.5294117647058824,0.0657439446366782,0.02422145328719723,0.03460207612456748,0.058823529411764705
pfim_metaweb,G2,81,lognormal,20,0.175,3,0.7922802242263642,2.1722756410256414,2.0,1.4846149779161804,0.5676567244564473,2.55,0.1875,0.2275,0.0,0.415
pfim_downsample,G2,81,lognormal,20,0.155,3,0.8544248124865059,2.6110347985347984,2.0,1.5449168809751794,0.6443118346673903,2.15,0.15,0.1775,0.0025,0.3475
random,G2,81,lognormal,20,0.285,3,0.9041321701306122,5.354000712662887e16,1.0,0.322489707148006,0.322489707148006,4.75,0.0,0.0,0.0,0.0
adbm,G3,81,lognormal,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
bodymassratio,G3,81,lognormal,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
lmatrix,G3,81,lognormal,28,0.21428571428571427,1,0.7953791161801145,2.8566766566766555,2.0,1.077262190536962,1.1322071383431682,5.035714285714286,0.0,0.30739795918367346,1.0229591836734695,0.9477040816326531
niche,G3,81,lognormal,28,0.14158163265306123,4,0.8646074184477454,3.553776400367309,2.0,1.298061725621244,0.604322800238191,3.0,0.16709183673469388,0.1568877551020408,0.1326530612244898,0.4655612244897959
pfim_metaweb,G3,81,lognormal,28,0.13010204081632654,3,0.7906103358501839,2.2574851527149327,2.0,1.6892443153121253,0.7096245515367301,2.6785714285714284,0.1364795918367347,0.20918367346938777,0.02295918367346939,0.45408163265306123
pfim_downsample,G3,81,lognormal,28,0.11607142857142858,3,0.8522453958552743,2.163425370148059,2.0,1.767805693873288,0.7185589592131181,2.2857142857142856,0.11479591836734694,0.15433673469387754,0.02295918367346939,0.40816326530612246
